key,en,de
developer.cta,"See our developer documentation","Zur Entwicklerdokumentation"
developer.promise,"A promise from our developers to yours","Versprochen – von Devs für Devs"
pricing.tagline,"Pricing","Preise"
pricing.headline,"Start guiding users, pay as you grow","Einsteigen. Skalieren. Bezahlen nach Nutzung."
pricing.description,"Simple pricing based on how many users you guide. Our flexible credit system scales with your product adoption and user engagement.","Zahlen, wie Sie wachsen. Unser Kreditmodell passt sich Ihrer Nutzerreise flexibel an."
pricing.comparePlans,"Compare our plans","Pläne vergleichen"
pricing.annualCredits,"90,000 credits/year","90.000 Kredite/Jahr"
pricing.monthlyCredits,"7,500 credits/month","7.500 Kredite/Monat"
pricing.annualCredits2,"120,000 credits/year","120.000 Kredite/Jahr"
pricing.monthlyCredits2,"10,000 credits/month","10.000 Kredite/Monat"
pricing.getStarted,"Get Started","Jetzt starten"
pricing.feature1,"Unlimited users","Unbegrenzte Benutzer"
pricing.feature2,"Up to 100/search","Bis zu 100/Suche"
pricing.feature3,"Exporting","Exportieren"
pricing.feature4,"AI / Claygent","KI / Claygent"
pricing.rolloverCredits,"Rollover credits","Übertragbare Kredite"
pricing.tryPercy,"Try Percy for free","Percy kostenlos testen"
pricing.talkToUs,"Talk to us","Sprechen Sie mit uns"
pricing.contactSales,"Contact sales","Vertrieb kontaktieren"
pricing.percyCredits,"Percy Credits","Percy-Kredite"
pricing.additionalCreditCost,"Additional Credit Cost","Zusätzliche Kreditkosten"
pricing.supportLevel,"Support Level","Support-Level"
pricing.branding,"Branding","Branding"
pricing.featureInfluence,"Feature Influence & Consultation","Feature-Einfluss & Beratung"
pricing.customizedWorkflow,"Customized Workflow Assistance","Angepasste Workflow-Unterstützung"
pricing.betaFeatureAccess,"Beta Feature Access","Beta-Feature-Zugang"
pricing.flexibleExit,"Flexible Exit","Flexibler Ausstieg"
pricing.basic,"Basic","Basis"
pricing.standard,"Standard","Standard"
pricing.priority,"Priority","Priorität"
pricing.dedicated,"Dedicated","Dediziert"
pricing.percy,"Percy","Percy"
pricing.custom,"Custom","Angepasst"
pricing.contractBased,"Contract-based","Vertragsbasiert"
pricing.mostPopular,"MOST POPULAR","AM BELIEBTESTEN"
pricing.free,"FREE","KOSTENLOS"
pricing.starter,"STARTER","STARTER"
pricing.pro,"PRO","PRO"
pricing.enterprise,"ENTERPRISE","ENTERPRISE"
faq.heading,"FREQUENTLY ASKED QUESTIONS","HÄUFIG GESTELLTE FRAGEN"
faq.subheading,"Common questions about Percy","Häufige Fragen zu Percy"
faq.question1,"What are Percy Credits?","Was sind Percy-Kredite?"
faq.answer1,"Percy Credits are our flexible usage metric. Each user interaction with Percy (viewing a product tour or engaging with guidance) consumes credits. Our tiered plans offer monthly credit allocations to match your needs.","Percy-Kredite sind unsere flexible Nutzungsmetrik. Jede Benutzerinteraktion mit Percy (Anzeigen einer Produkttour oder Interaktion mit Anleitungen) verbraucht Kredite. Unsere gestaffelten Pläne bieten monatliche Kreditzuweisungen, die Ihren Bedürfnissen entsprechen."
faq.question2,"Can I upgrade my plan anytime?","Kann ich meinen Plan jederzeit upgraden?"
faq.answer2,"Yes, you can easily upgrade or downgrade your Percy plan at any time. When you upgrade, you'll immediately gain access to additional features and credits.","Ja, Sie können Ihren Percy-Plan jederzeit einfach upgraden oder downgraden. Bei einem Upgrade erhalten Sie sofort Zugriff auf zusätzliche Funktionen und Kredite."
faq.question3,"How do rollover credits work?","Wie funktionieren übertragbare Kredite?"
faq.answer3,"Unused Percy Credits roll over to the next month on paid plans. The rollover limit depends on your plan tier, providing flexibility for varying usage patterns.","Nicht verwendete Percy-Kredite werden bei bezahlten Plänen in den nächsten Monat übertragen. Das Übertragungslimit hängt von Ihrem Plantarif ab und bietet Flexibilität für unterschiedliche Nutzungsmuster."
faq.question4,"How do I implement Percy in my product?","Wie implementiere ich Percy in mein Produkt?"
faq.answer4,"Percy's installation is simple. Add our lightweight script to your web app or use our SDK for mobile apps. Our team provides personalized onboarding to ensure smooth implementation, and most customers are up and running within days.","Die Installation von Percy ist einfach. Fügen Sie unser leichtgewichtiges Skript zu Ihrer Web-App hinzu oder verwenden Sie unser SDK für mobile Apps. Unser Team bietet personalisiertes Onboarding für eine reibungslose Implementierung, und die meisten Kunden sind innerhalb weniger Tage einsatzbereit."
faq.question5,"What support options do Percy customers receive?","Welche Support-Optionen erhalten Percy-Kunden?"
faq.answer5,"All customers receive comprehensive documentation and email support. Starter plans include standard response times, while Pro and Enterprise customers enjoy priority support, dedicated account managers, and regular check-ins to maximize your success with Percy.","Alle Kunden erhalten umfassende Dokumentation und E-Mail-Support. Starter-Pläne beinhalten Standard-Antwortzeiten, während Pro- und Enterprise-Kunden von Prioritäts-Support, dedizierten Account-Managern und regelmäßigen Check-ins profitieren, um Ihren Erfolg mit Percy zu maximieren."
faq.question6,"Can I customize Percy's appearance to match my brand?","Kann ich das Erscheinungsbild von Percy an meine Marke anpassen?"
faq.answer6,"Yes! All paid plans include branding customization. You can set your brand colors, add your logo, and adjust the look and feel of Percy to match your application's design. Enterprise plans include additional customization options for a truly seamless experience.","Ja! Alle bezahlten Pläne beinhalten Branding-Anpassungen. Sie können Ihre Markenfarben festlegen, Ihr Logo hinzufügen und das Aussehen und Gefühl von Percy an das Design Ihrer Anwendung anpassen. Enterprise-Pläne beinhalten zusätzliche Anpassungsoptionen für ein wirklich nahtloses Erlebnis."
faq.question7,"How does Percy integrate with our analytics?","Wie integriert sich Percy mit unseren Analysen?"
faq.answer7,"Percy offers seamless integration with popular analytics platforms like Google Analytics, Segment, Mixpanel, and more. We provide detailed engagement metrics in our dashboard, and you can pass events to your existing analytics setup to measure the impact on user behavior and conversion rates.","Percy bietet nahtlose Integration mit beliebten Analyseplattformen wie Google Analytics, Segment, Mixpanel und mehr. Wir stellen detaillierte Engagement-Metriken in unserem Dashboard bereit, und Sie können Ereignisse an Ihre bestehende Analyse-Einrichtung weiterleiten, um die Auswirkungen auf das Benutzerverhalten und die Konversionsraten zu messen."
roadmap.title,"Changelog","Änderungsprotokoll"
roadmap.headline,"What's new?","Was gibt es Neues?"
roadmap.description,"A rundown of the latest Percy feature releases, product enhancements, design updates, and important bug fixes.","Eine Übersicht der neuesten Percy-Feature-Veröffentlichungen, Produktverbesserungen, Design-Updates und wichtigen Fehlerbehebungen."
roadmap.subscribe,"Subscribe to updates","Updates abonnieren"
roadmap.tag.newFeature,"New Feature","Neues Feature"
roadmap.tag.ai,"AI","KI"
roadmap.tag.enhancement,"Enhancement","Verbesserung"
roadmap.tag.ux,"User Experience","Benutzererfahrung"
roadmap.tag.feature,"Feature","Feature"
roadmap.tag.devTools,"Developer Tools","Entwickler-Tools"
roadmap.tag.comingSoon,"Coming Soon","Demnächst"
roadmap.entry1.title,"AI-Powered Contextual Help","KI-gestützte kontextbezogene Hilfe"
roadmap.entry1.desc,"We're excited to introduce our new AI-powered contextual help system that understands exactly what your users need, right when they need it:","Wir freuen uns, unser neues KI-gestütztes kontextbezogenes Hilfesystem vorzustellen, das genau versteht, was Ihre Benutzer brauchen, genau dann, wenn sie es brauchen:"
roadmap.entry1.feature1.title,"Context-aware responses:","Kontextbezogene Antworten:"
roadmap.entry1.feature1.desc,"Percy now analyzes the user's current view and recent actions to provide highly relevant support in real-time.","Percy analysiert jetzt die aktuelle Ansicht des Benutzers und die letzten Aktionen, um in Echtzeit hochrelevante Unterstützung zu bieten."
roadmap.entry1.feature2.title,"Knowledge base integration:","Wissensdatenbank-Integration:"
roadmap.entry1.feature2.desc,"Automatically pulls from your existing knowledge base, documentation, and support history to answer user questions with precision.","Greift automatisch auf Ihre bestehende Wissensdatenbank, Dokumentation und Support-Verlauf zu, um Benutzerfragen präzise zu beantworten."
roadmap.entry1.feature3.title,"Continuous learning:","Kontinuierliches Lernen:"
roadmap.entry1.feature3.desc,"The system improves over time by learning from user interactions and feedback, making each response more helpful than the last.","Das System verbessert sich im Laufe der Zeit durch das Lernen aus Benutzerinteraktionen und Feedback, wodurch jede Antwort hilfreicher wird als die letzte."
roadmap.entry1.comingIn,"Released in April 2025","Veröffentlicht im April 2025"
roadmap.entry2.title,"Spotlight Search Functionality","Spotlight-Suchfunktion"
roadmap.entry2.desc,"Finding answers in your product just got a lot easier with our new Spotlight Search feature. This powerful global search allows users to:","Das Finden von Antworten in Ihrem Produkt ist mit unserer neuen Spotlight-Suchfunktion viel einfacher geworden. Diese leistungsstarke globale Suche ermöglicht es Benutzern:"
roadmap.entry2.feature1.title,"Search across all content:","Suche über alle Inhalte:"
roadmap.entry2.feature1.desc,"Access help topics, product features, and documentation from anywhere in your application.","Zugriff auf Hilfethemen, Produktfunktionen und Dokumentation von überall in Ihrer Anwendung."
roadmap.entry2.feature2.title,"Command palette functionality:","Befehlspalettenfunktion:"
roadmap.entry2.feature2.desc,"Power users can now execute common actions directly from the search interface without navigating through menus.","Fortgeschrittene Benutzer können jetzt häufige Aktionen direkt über die Suchoberfläche ausführen, ohne durch Menüs navigieren zu müssen."
roadmap.entry2.feature3.title,"Natural language understanding:","Verständnis natürlicher Sprache:"
roadmap.entry2.feature3.desc,"Users can type questions in plain English and get meaningful results.","Benutzer können Fragen in natürlicher Sprache eingeben und erhalten aussagekräftige Ergebnisse."
roadmap.entry2.comingIn,"Released in March 2025","Veröffentlicht im März 2025"
roadmap.entry3.title,"Advanced Integration API","Erweiterte Integrations-API"
roadmap.entry3.desc,"Our new developer-friendly API makes integrating Percy into your product easier than ever:","Unsere neue entwicklerfreundliche API macht die Integration von Percy in Ihr Produkt einfacher als je zuvor:"
roadmap.entry3.feature1.title,"Comprehensive webhooks:","Umfassende Webhooks:"
roadmap.entry3.feature1.desc,"Get notified of key user events and interactions in real-time to trigger custom workflows.","Werden Sie in Echtzeit über wichtige Benutzerereignisse und Interaktionen informiert, um benutzerdefinierte Workflows auszulösen."
roadmap.entry3.feature2.title,"GraphQL support:","GraphQL-Unterstützung:"
roadmap.entry3.feature2.desc,"More flexibility with our new GraphQL endpoint alongside our REST API.","Mehr Flexibilität mit unserem neuen GraphQL-Endpunkt neben unserer REST-API."
roadmap.entry3.feature3.title,"SDKs for multiple languages:","SDKs für mehrere Sprachen:"
roadmap.entry3.feature3.desc,"New official SDKs for JavaScript, Python, Ruby and Java to streamline integration.","Neue offizielle SDKs für JavaScript, Python, Ruby und Java zur Vereinfachung der Integration."
roadmap.entry3.feature4.title,"Improved documentation:","Verbesserte Dokumentation:"
roadmap.entry3.feature4.desc,"Completely redesigned developer docs with interactive examples and quickstart guides.","Komplett neu gestaltete Entwicklerdokumentation mit interaktiven Beispielen und Schnellstartanleitungen."
roadmap.entry3.checkOut,"Check out our new","Besuchen Sie unser neues"
roadmap.entry3.devPortal,"Developer Portal","Entwicklerportal"
roadmap.entry3.forMore,"for more details and implementation guides.","für weitere Details und Implementierungsleitfäden."
roadmap.entry3.comingIn,"Released in February 2025","Veröffentlicht im Februar 2025"
roadmap.entry4.title,"Advanced User Analytics Dashboard","Erweitertes Benutzeranalyse-Dashboard"
roadmap.entry4.desc,"We're working on a comprehensive analytics dashboard that will provide deep insights into how users interact with your product:","Wir arbeiten an einem umfassenden Analyse-Dashboard, das tiefe Einblicke bietet, wie Benutzer mit Ihrem Produkt interagieren:"
roadmap.entry4.feature1.title,"User journey visualization:","Visualisierung der Benutzerreise:"
roadmap.entry4.feature1.desc,"See exactly how users navigate through your product with intuitive flow diagrams.","Sehen Sie genau, wie Benutzer durch Ihr Produkt navigieren, mit intuitiven Flussdiagrammen."
roadmap.entry4.feature2.title,"Feature adoption metrics:","Metriken zur Funktionsübernahme:"
roadmap.entry4.feature2.desc,"Track which features are being used and by whom to identify opportunities for improvement.","Verfolgen Sie, welche Funktionen genutzt werden und von wem, um Verbesserungsmöglichkeiten zu identifizieren."
roadmap.entry4.feature3.title,"Onboarding completion analysis:","Analyse der Onboarding-Fertigstellung:"
roadmap.entry4.feature3.desc,"Identify where users get stuck in your onboarding process and optimize accordingly.","Identifizieren Sie, wo Benutzer in Ihrem Onboarding-Prozess hängen bleiben, und optimieren Sie entsprechend."
roadmap.entry4.feature4.title,"Custom reporting:","Benutzerdefinierte Berichterstattung:"
roadmap.entry4.feature4.desc,"Build and save custom reports focused on the metrics that matter most to your team.","Erstellen und speichern Sie benutzerdefinierte Berichte, die sich auf die Metriken konzentrieren, die für Ihr Team am wichtigsten sind."
roadmap.entry4.comingIn,"Coming in May 2025","Kommt im Mai 2025"
changelog.title,"Changelog","Änderungsprotokoll"
changelog.headline,"What's new?","Was gibt es Neues?"
changelog.description,"A rundown of the latest Percy feature releases, product enhancements, design updates, and important bug fixes.","Eine Übersicht der neuesten Percy-Feature-Veröffentlichungen, Produktverbesserungen, Design-Updates und wichtigen Fehlerbehebungen."
changelog.subscribe,"Subscribe to updates","Updates abonnieren"
changelog.tag.newFeature,"New Feature","Neues Feature"
changelog.tag.ai,"AI","KI"
changelog.tag.enhancement,"Enhancement","Verbesserung"
changelog.tag.ux,"User Experience","Benutzererfahrung"
changelog.tag.feature,"Feature","Feature"
changelog.tag.devTools,"Developer Tools","Entwickler-Tools"
changelog.tag.comingSoon,"Coming Soon","Demnächst"
changelog.entry1.title,"AI-Powered Contextual Help","KI-gestützte kontextbezogene Hilfe"
changelog.entry1.desc,"We're excited to introduce our new AI-powered contextual help system that understands exactly what your users need, right when they need it:","Wir freuen uns, unser neues KI-gestütztes kontextbezogenes Hilfesystem vorzustellen, das genau versteht, was Ihre Benutzer brauchen, genau dann, wenn sie es brauchen:"
changelog.entry1.feature1.title,"Context-aware responses:","Kontextbezogene Antworten:"
changelog.entry1.feature1.desc,"Percy now analyzes the user's current view and recent actions to provide highly relevant support in real-time.","Percy analysiert jetzt die aktuelle Ansicht des Benutzers und die letzten Aktionen, um in Echtzeit hochrelevante Unterstützung zu bieten."
changelog.entry1.feature2.title,"Knowledge base integration:","Wissensdatenbank-Integration:"
changelog.entry1.feature2.desc,"Automatically pulls from your existing knowledge base, documentation, and support history to answer user questions with precision.","Greift automatisch auf Ihre bestehende Wissensdatenbank, Dokumentation und Support-Verlauf zu, um Benutzerfragen präzise zu beantworten."
changelog.entry1.feature3.title,"Continuous learning:","Kontinuierliches Lernen:"
changelog.entry1.feature3.desc,"The system improves over time by learning from user interactions and feedback, making each response more helpful than the last.","Das System verbessert sich im Laufe der Zeit durch das Lernen aus Benutzerinteraktionen und Feedback, wodurch jede Antwort hilfreicher wird als die letzte."
changelog.entry2.title,"Spotlight Search Functionality","Spotlight-Suchfunktion"
changelog.entry2.desc,"Finding answers in your product just got a lot easier with our new Spotlight Search feature. This powerful global search allows users to:","Das Finden von Antworten in Ihrem Produkt ist mit unserer neuen Spotlight-Suchfunktion viel einfacher geworden. Diese leistungsstarke globale Suche ermöglicht es Benutzern:"
changelog.entry2.feature1.title,"Search across all content:","Suche über alle Inhalte:"
changelog.entry2.feature1.desc,"Access help topics, product features, and documentation from anywhere in your application.","Zugriff auf Hilfethemen, Produktfunktionen und Dokumentation von überall in Ihrer Anwendung."
changelog.entry2.feature2.title,"Command palette functionality:","Befehlspalettenfunktion:"
changelog.entry2.feature2.desc,"Power users can now execute common actions directly from the search interface without navigating through menus.","Fortgeschrittene Benutzer können jetzt häufige Aktionen direkt über die Suchoberfläche ausführen, ohne durch Menüs navigieren zu müssen."
changelog.entry2.feature3.title,"Natural language understanding:","Verständnis natürlicher Sprache:"
changelog.entry2.feature3.desc,"Users can type questions in plain English and get meaningful results.","Benutzer können Fragen in natürlicher Sprache eingeben und erhalten aussagekräftige Ergebnisse."
changelog.entry3.title,"Advanced Integration API","Erweiterte Integrations-API"
changelog.entry3.desc,"Our new developer-friendly API makes integrating Percy into your product easier than ever:","Unsere neue entwicklerfreundliche API macht die Integration von Percy in Ihr Produkt einfacher als je zuvor:"
changelog.entry3.feature1.title,"Comprehensive webhooks:","Umfassende Webhooks:"
changelog.entry3.feature1.desc,"Get notified of key user events and interactions in real-time to trigger custom workflows.","Werden Sie in Echtzeit über wichtige Benutzerereignisse und Interaktionen informiert, um benutzerdefinierte Workflows auszulösen."
changelog.entry3.feature2.title,"GraphQL support:","GraphQL-Unterstützung:"
changelog.entry3.feature2.desc,"More flexibility with our new GraphQL endpoint alongside our REST API.","Mehr Flexibilität mit unserem neuen GraphQL-Endpunkt neben unserer REST-API."
changelog.entry3.feature3.title,"SDKs for multiple languages:","SDKs für mehrere Sprachen:"
changelog.entry3.feature3.desc,"New official SDKs for JavaScript, Python, Ruby and Java to streamline integration.","Neue offizielle SDKs für JavaScript, Python, Ruby und Java zur Vereinfachung der Integration."
changelog.entry3.feature4.title,"Improved documentation:","Verbesserte Dokumentation:"
changelog.entry3.feature4.desc,"Completely redesigned developer docs with interactive examples and quickstart guides.","Komplett neu gestaltete Entwicklerdokumentation mit interaktiven Beispielen und Schnellstartanleitungen."
changelog.entry3.checkOut,"Check out our new","Besuchen Sie unser neues"
changelog.entry3.devPortal,"Developer Portal","Entwicklerportal"
changelog.entry3.forMore,"for more details and implementation guides.","für weitere Details und Implementierungsleitfäden."
changelog.entry4.title,"Advanced User Analytics Dashboard","Erweitertes Benutzeranalyse-Dashboard"
changelog.entry4.desc,"We're working on a comprehensive analytics dashboard that will provide deep insights into how users interact with your product:","Wir arbeiten an einem umfassenden Analyse-Dashboard, das tiefe Einblicke bietet, wie Benutzer mit Ihrem Produkt interagieren:"
changelog.entry4.feature1.title,"User journey visualization:","Visualisierung der Benutzerreise:"
changelog.entry4.feature1.desc,"See exactly how users navigate through your product with intuitive flow diagrams.","Sehen Sie genau, wie Benutzer durch Ihr Produkt navigieren, mit intuitiven Flussdiagrammen."
changelog.entry4.feature2.title,"Feature adoption metrics:","Metriken zur Funktionsübernahme:"
changelog.entry4.feature2.desc,"Track which features are being used and by whom to identify opportunities for improvement.","Verfolgen Sie, welche Funktionen genutzt werden und von wem, um Verbesserungsmöglichkeiten zu identifizieren."
changelog.entry4.feature3.title,"Onboarding completion analysis:","Analyse der Onboarding-Fertigstellung:"
changelog.entry4.feature3.desc,"Identify where users get stuck in your onboarding process and optimize accordingly.","Identifizieren Sie, wo Benutzer in Ihrem Onboarding-Prozess hängen bleiben, und optimieren Sie entsprechend."
changelog.entry4.feature4.title,"Custom reporting:","Benutzerdefinierte Berichterstattung:"
changelog.entry4.feature4.desc,"Build and save custom reports focused on the metrics that matter most to your team.","Erstellen und speichern Sie benutzerdefinierte Berichte, die sich auf die Metriken konzentrieren, die für Ihr Team am wichtigsten sind."
changelog.entry4.comingIn,"Coming in May 2025","Kommt im Mai 2025"
hero.videoUrl,"https://youtu.be/x8XIARHQWHM","https://www.youtube.com/watch?v=-vKTt2dEGdQ"
